Learner,CA,AUC,Precision(average=macro),Recall(average=macro),F1(average=macro),MCC
"RandomForestLearner(n_estimators=300, max_depth=10, random_state=42, class_weight='balanced')",0.8142647058823529,0.9693375365158878,0.7732829740483851,0.7655938390313392,0.7565954711890118,0.7609167671790675
"RandomForestLearner(n_estimators=300, max_depth=10, min_samples_split=5, random_state=42, class_weight='balanced')",0.8147794117647059,0.9693236145515587,0.7733008744585533,0.7676168405396346,0.7581064585127352,0.7618700783052604
"RandomForestLearner(n_estimators=300, max_features=5, random_state=42, class_weight='balanced')",0.8376470588235294,0.9731224489093531,0.7784638447280959,0.7566275452488688,0.7657185386467056,0.7870608803636608
"RandomForestLearner(n_estimators=300, min_samples_split=5, max_features=5, random_state=42, class_weight='balanced')",0.839485294117647,0.9732557443125036,0.7829948638226764,0.7701331804089157,0.7754708796347943,0.78999995140927
"RandomForestLearner(n_estimators=300, max_depth=10, max_features=5, random_state=42, class_weight='balanced')",0.8047794117647059,0.9658431305219561,0.761531159708205,0.7556960679570973,0.7469456652183338,0.7493619594234144
"RandomForestLearner(n_estimators=300, max_depth=10, min_samples_split=5, max_features=5, random_state=42, class_weight='balanced')",0.8041176470588235,0.9658606775570373,0.7615108438512932,0.7571347620244678,0.7473005158005801,0.7488214253316811
"RandomForestLearner(n_estimators=300, max_features=10, random_state=42, class_weight='balanced')",0.8506617647058824,0.9777896217130059,0.7952893134769711,0.7807350322607675,0.7873574836416694,0.8044330722999304
"RandomForestLearner(n_estimators=300, min_samples_split=5, max_features=10, random_state=42, class_weight='balanced')",0.8505882352941176,0.9779388385115328,0.7958572907491228,0.7850499099212335,0.7894323497005317,0.8046675272138905
"RandomForestLearner(n_estimators=300, max_depth=10, max_features=10, random_state=42, class_weight='balanced')",0.8277205882352942,0.9727068352528623,0.7861043534237463,0.7768925444109268,0.7691016839660628,0.7778194719670956
"RandomForestLearner(n_estimators=300, max_depth=10, min_samples_split=5, max_features=10, random_state=42, class_weight='balanced')",0.8283088235294118,0.9728211237188972,0.7870289590731616,0.7776448592257416,0.7695772264015585,0.7787303724870688
