Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.03, class_weight='balanced', random_state=0, max_iter=10000)",0.6686789772727273,0.7169605642834241,0.7733853578396139,0.731654520938682,0.45856873009221155,0.9169710250791332,0.818790814290081,0.7169605642834241
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.6690340909090909,0.7170888105161911,0.7735577910080066,0.7317728679753647,0.4584920761687735,0.9167883211678832,0.8187999155631441,0.7170888105161911
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.6693004261363636,0.717217056748958,0.7737068965517241,0.7318922501347389,0.4585367131381563,0.9167071984435797,0.8188023753666748,0.717217056748958
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.6693004261363636,0.717217056748958,0.7737068965517241,0.7318922501347389,0.4585367131381563,0.9167071984435797,0.8188040357340579,0.717217056748958
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.6863458806818182,0.7445976274446938,0.795165852404217,0.7578715174021403,0.5223540147448706,0.944994499449945,0.8583818338261687,0.7445976274446938
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.6959339488636364,0.756139788393716,0.8047841486576665,0.7687983728778099,0.5459922555196781,0.9539978094194962,0.8768354643977877,0.756139788393716
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.7756569602272727,0.7964732285989099,0.8462805114296784,0.8053555746169183,0.5729628241135883,0.9310528559249787,0.8905939757279707,0.7964732285989099
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.8392223011363636,0.7996793844180827,0.8581933726736268,0.8028606034302291,0.5192748181386465,0.8780419840237785,0.8835428566649524,0.7996793844180827
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.6866122159090909,0.7448541199102277,0.7953926055432714,0.7581138554322755,0.5228065736933039,0.9451301478675302,0.8585446523215299,0.7448541199102277
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.6956676136363636,0.7556268034626483,0.8043935738849253,0.768311079189635,0.5447252872169608,0.9534006570142353,0.8772204851454104,0.7556268034626483
