Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"RandomForestLearner(n_estimators=50, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9346078431372549,0.9405882352941176,0.9593438663580558,0.9419348721955142,0.853452903938614,0.9854248501137068,0.9850880334486738,0.9405882352941176
"RandomForestLearner(n_estimators=50, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9504901960784313,0.9465441176470588,0.9638614107471293,0.9472360270000617,0.8625574083876935,0.9776141978420894,0.9855091839677048,0.9465441176470588
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.9532352941176471,0.9472058823529412,0.9643919857171196,0.9477823349387777,0.8632827945033833,0.9758129265355279,0.9857811130334487,0.9472058823529412
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9347058823529412,0.9407352941176471,0.959444500352219,0.9420785977593866,0.8538276362784334,0.9855282199710564,0.9854694925028835,0.9407352941176471
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9503921568627451,0.9468382352941176,0.964049525135498,0.9475398945922074,0.8634532684719897,0.9781051357077994,0.9858380190311418,0.9468382352941176
"RandomForestLearner(n_estimators=200, min_samples_split=10, random_state=0, class_weight='balanced')",0.9541176470588235,0.9483088235294118,0.9651410720483959,0.9488664680488094,0.8660996977440654,0.9764221932376843,0.9859268454440601,0.9483088235294118
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9355882352941176,0.94125,0.9598189590143325,0.9425573156380562,0.8548218837200052,0.9853381517811048,0.9854929065743945,0.94125
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9500980392156863,0.9463970588235294,0.9637511809457511,0.9471045410203587,0.8623074718091936,0.9778024417314095,0.9858921280276817,0.9463970588235294
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=5)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=5)",0.9599019607843138,0.9383088235294118,0.9589148425640273,0.9382449901616987,0.8351579100001694,0.957929752470404,0.9502863465974624,0.9383088235294118
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.9608823529411765,0.9333088235294118,0.9557755131893315,0.9329428290333827,0.8204273257766176,0.9507226695120768,0.8839309256055364,0.9333088235294118
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=10)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=10)",0.9599019607843138,0.9383088235294118,0.9589148425640273,0.9382449901616987,0.8351579100001694,0.957929752470404,0.9502863465974624,0.9383088235294118
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=10)",0.9615686274509804,0.9321323529411765,0.9550611032669556,0.931653881796411,0.816831116246428,0.9486410678015282,0.9029463811995386,0.9321323529411765
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=20)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=20)",0.9599019607843138,0.9383088235294118,0.9589148425640273,0.9382449901616987,0.8351579100001694,0.957929752470404,0.9502863465974624,0.9383088235294118
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=20)",0.9637254901960784,0.9330882352941177,0.9557608167233835,0.9325068870523416,0.8190150652515436,0.9479267116682739,0.9248290657439445,0.9330882352941177
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=5)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.9598039215686275,0.9380882352941177,0.9587699539712076,0.9380211066704977,0.8345528956839573,0.9577382117002543,0.950175720876586,0.9380882352941177
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=5)",0.962843137254902,0.9330147058823529,0.9556755704763295,0.9324931003034636,0.819032297487486,0.9486139283299526,0.9103575403690887,0.9330147058823529
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=10)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.9598039215686275,0.9380882352941177,0.9587699539712076,0.9380211066704977,0.8345528956839573,0.9577382117002543,0.950175720876586,0.9380882352941177
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=10)",0.962843137254902,0.9330147058823529,0.9556755704763295,0.9324931003034636,0.819032297487486,0.9486139283299526,0.9103575403690887,0.9330147058823529
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=20)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=20)",0.9598039215686275,0.9380882352941177,0.9587699539712076,0.9380211066704977,0.8345528956839573,0.9577382117002543,0.950175720876586,0.9380882352941177
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=20)",0.9624509803921568,0.9338235294117647,0.9561702542125255,0.9333743153218604,0.8214714131629862,0.9499709696148636,0.9275838956170703,0.9338235294117647
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=5)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5)",0.9599019607843138,0.9379411764705883,0.9586801135807305,0.9378615761805288,0.8340977827898668,0.9574613729708586,0.950351585928489,0.9379411764705883
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=5)",0.9631372549019608,0.9341176470588235,0.956386292834891,0.9336358734723219,0.8221351697811962,0.9497293116782676,0.9296395761245675,0.9341176470588235
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=10)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.9599019607843138,0.9379411764705883,0.9586801135807305,0.9378615761805288,0.8340977827898668,0.9574613729708586,0.950351585928489,0.9379411764705883
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=10)",0.9631372549019608,0.9341176470588235,0.956386292834891,0.9336358734723219,0.8221351697811962,0.9497293116782676,0.9296395761245675,0.9341176470588235
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=20)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=20)",0.9599019607843138,0.9379411764705883,0.9586801135807305,0.9378615761805288,0.8340977827898668,0.9574613729708586,0.950351585928489,0.9379411764705883
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=20)",0.9631372549019608,0.9341176470588235,0.956386292834891,0.9336358734723219,0.8221351697811962,0.9497293116782676,0.9296395761245675,0.9341176470588235
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=5)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5)",0.9588235294117647,0.9369117647058823,0.95797825448134,0.9368558524652515,0.8314724922908551,0.9571344685848503,0.9501970732410611,0.9369117647058823
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=20, min_samples_split=5)",0.9640196078431372,0.9366176470588236,0.958008573655495,0.9362072695701583,0.8291002591754092,0.9520720371804803,0.945463783160323,0.9366176470588236
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=10)",0.9615686274509804,0.9228676470588235,0.9492378417614323,0.9217983124610896,0.7899522319346198,0.9372193024366937,0.937322491349481,0.9228676470588235
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.9588235294117647,0.9369117647058823,0.95797825448134,0.9368558524652515,0.8314724922908551,0.9571344685848503,0.9501970732410611,0.9369117647058823
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=20, min_samples_split=10)",0.9640196078431372,0.9366176470588236,0.958008573655495,0.9362072695701583,0.8291002591754092,0.9520720371804803,0.945463783160323,0.9366176470588236
