Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"RandomForestLearner(n_estimators=50, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9402941176470588,0.9439338235294118,0.9617689087217027,0.9450535094649211,0.8600303939992382,0.9842475242444456,0.985135321150519,0.9439338235294118
"RandomForestLearner(n_estimators=50, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9542401960784314,0.948952205882353,0.9655642771226269,0.9495168168912297,0.8679045721002517,0.9771603543909846,0.9855096687572088,0.948952205882353
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.956813725490196,0.949375,0.965928491896573,0.9498307092871062,0.8680964946685754,0.9752185860604546,0.9858937184616493,0.949375
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9404656862745098,0.9443382352941176,0.9620408674940454,0.9454541780059973,0.8611199825185225,0.9846292019502181,0.9854263101931949,0.9443382352941176
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9543137254901961,0.9490992647058824,0.9656626281916146,0.9496633566687652,0.868298239753031,0.9772847067091689,0.9859186535827568,0.9490992647058824
"RandomForestLearner(n_estimators=200, min_samples_split=10, random_state=0, class_weight='balanced')",0.956813725490196,0.9494117647058824,0.9659523927351907,0.9498682699553684,0.8682022036511139,0.9752673128809833,0.9861103968425606,0.9494117647058824
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9410539215686274,0.9446507352941177,0.9622686432500845,0.9457436907895755,0.8617143478010635,0.9844619368734135,0.9854666846885815,0.9446507352941177
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9543872549019607,0.9491544117647058,0.9657011060959277,0.9497162330383474,0.8684269422745775,0.977286417026403,0.9859899996395617,0.9491544117647058
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=5)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=5)",0.9621323529411765,0.94125,0.9608841455951828,0.9411731852279808,0.8429366857230135,0.9596391727374958,0.9498812842416379,0.94125
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.9651470588235294,0.9365625,0.9580206065176932,0.9360727067966669,0.8286566329411488,0.9509986234211607,0.8865973111303346,0.9365625
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=10)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=10)",0.9621323529411765,0.94125,0.9608841455951828,0.9411731852279808,0.8429366857230135,0.9596391727374958,0.9498812842416379,0.94125
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=10)",0.9657107843137255,0.9365257352941176,0.9580207890097866,0.9359953431229455,0.828414773021777,0.9504522976721747,0.9024655484068628,0.9365257352941176
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=2, min_samples_split=20)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=2, min_samples_split=20)",0.9621323529411765,0.94125,0.9608841455951828,0.9411731852279808,0.8429366857230135,0.9596391727374958,0.9498812842416379,0.94125
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=20)",0.9665686274509804,0.9377573529411765,0.9588368304602591,0.9372347737757948,0.8317459750937878,0.9512277485648126,0.9229160737456747,0.9377573529411765
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=5)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.962107843137255,0.9411764705882353,0.9608361482351789,0.9410980989218442,0.8427328007257476,0.9595678106971741,0.9497347075043253,0.9411764705882353
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=5)",0.9657107843137255,0.9360661764705882,0.9577297034516286,0.9355107014197923,0.8270954818514674,0.9498794599807135,0.9148902870891003,0.9360661764705882
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=10)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.962107843137255,0.9411764705882353,0.9608361482351789,0.9410980989218442,0.8427328007257476,0.9595678106971741,0.9497347075043253,0.9411764705882353
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=10)",0.9657107843137255,0.9360661764705882,0.9577297034516286,0.9355107014197923,0.8270954818514674,0.9498794599807135,0.9148902870891003,0.9360661764705882
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=5, min_samples_split=20)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=5, min_samples_split=20)",0.962107843137255,0.9411764705882353,0.9608361482351789,0.9410980989218442,0.8427328007257476,0.9595678106971741,0.9497347075043253,0.9411764705882353
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=5, min_samples_split=20)",0.9665441176470588,0.9378308823529412,0.9588824587851967,0.9373138706069026,0.8319623141015805,0.9513413104313423,0.9288921622693196,0.9378308823529412
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=5)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=5)",0.9620098039215687,0.9406985294117647,0.9605266377896875,0.9406062511501255,0.841389015916017,0.9590480379221034,0.9495522914864474,0.9406985294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=5)",0.9656127450980392,0.9375183823529412,0.9586461134159844,0.9370475008360327,0.8312866906841222,0.951779286352765,0.9377089451773357,0.9375183823529412
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=10)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.9620098039215687,0.9406985294117647,0.9605266377896875,0.9406062511501255,0.841389015916017,0.9590480379221034,0.9495522914864474,0.9406985294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=10)",0.9656127450980392,0.9375183823529412,0.9586461134159844,0.9370475008360327,0.8312866906841222,0.951779286352765,0.9377089451773357,0.9375183823529412
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=10, min_samples_split=20)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=10, min_samples_split=20)",0.9620098039215687,0.9406985294117647,0.9605266377896875,0.9406062511501255,0.841389015916017,0.9590480379221034,0.9495522914864474,0.9406985294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=10, min_samples_split=20)",0.9656127450980392,0.9375183823529412,0.9586461134159844,0.9370475008360327,0.8312866906841222,0.951779286352765,0.9377089451773357,0.9375183823529412
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=5)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=5)",0.962328431372549,0.9403860294117647,0.9603394929618804,0.9402612787425341,0.8403972708458689,0.9583587590617296,0.9489444150086505,0.9403860294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=20, min_samples_split=5)",0.9661519607843138,0.9392830882352942,0.9597886560913551,0.9388669618910903,0.8362145278180004,0.9535086234004982,0.9464984501153403,0.9392830882352942
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=10)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=10)",0.962328431372549,0.9403860294117647,0.9603394929618804,0.9402612787425341,0.8403972708458689,0.9583587590617296,0.9489444150086505,0.9403860294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=20, min_samples_split=10)",0.9661519607843138,0.9392830882352942,0.9597886560913551,0.9388669618910903,0.8362145278180004,0.9535086234004982,0.9464984501153403,0.9392830882352942
"TreeLearner(binarize=True, max_depth=5, min_samples_leaf=20, min_samples_split=20)",0.9576470588235294,0.9220588235294118,0.9485336958632744,0.921273076258449,0.7886904808758676,0.9395921508272412,0.9371562563076702,0.9220588235294118
"TreeLearner(binarize=True, max_depth=10, min_samples_leaf=20, min_samples_split=20)",0.962328431372549,0.9403860294117647,0.9603394929618804,0.9402612787425341,0.8403972708458689,0.9583587590617296,0.9489444150086505,0.9403860294117647
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=20, min_samples_split=20)",0.9661519607843138,0.9392830882352942,0.9597886560913551,0.9388669618910903,0.8362145278180004,0.9535086234004982,0.9464984501153403,0.9392830882352942
"GBClassifier(learning_rate=0.03, subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9715686274509804,0.9344669117647059,0.9569678314925463,0.9333875958309297,0.8213737213417606,0.9427993816149364,0.9810146076629181,0.9344669117647059
"GBClassifier(learning_rate=0.03, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9718872549019608,0.9350551470588235,0.957351006168592,0.9339910674995999,0.823005850263939,0.9432431789528771,0.9812752505046135,0.9350551470588235
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9715686274509804,0.9344669117647059,0.9569678314925463,0.9333875958309297,0.8213737213417606,0.9427993816149364,0.9810146076629181,0.9344669117647059
"GBClassifier(learning_rate=0.03, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9718872549019608,0.9350551470588235,0.957351006168592,0.9339910674995999,0.823005850263939,0.9432431789528771,0.9812752505046135,0.9350551470588235
"GBClassifier(learning_rate=0.03, subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9723039215686274,0.9428492647058824,0.962291841016871,0.9422228464565549,0.8451230111186824,0.9524838531537372,0.9858615880911189,0.9428492647058824
"GBClassifier(learning_rate=0.03, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9729166666666667,0.9434007352941176,0.962664758879094,0.9427649661818415,0.8465862578339416,0.9526266529074372,0.9859235240051903,0.9434007352941176
"GBClassifier(learning_rate=0.03, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9723039215686274,0.9428492647058824,0.962291841016871,0.9422228464565549,0.8451230111186824,0.9524838531537372,0.9858615880911189,0.9428492647058824
"GBClassifier(learning_rate=0.03, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9729166666666667,0.9434007352941176,0.962664758879094,0.9427649661818415,0.8465862578339416,0.9526266529074372,0.9859235240051903,0.9434007352941176
"GBClassifier(learning_rate=0.05, subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9691911764705883,0.9454227941176471,0.9638169520443605,0.9451098630330834,0.8530364506099488,0.9585019997576052,0.9858359627306804,0.9454227941176471
"GBClassifier(learning_rate=0.05, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9695588235294118,0.9454779411764705,0.9638654028897932,0.9451462263570297,0.8531135765882185,0.9582384574390775,0.9859205557958478,0.9454779411764705
"GBClassifier(learning_rate=0.05, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9691911764705883,0.9454227941176471,0.9638169520443605,0.9451098630330834,0.8530364506099488,0.9585019997576052,0.9858359627306804,0.9454227941176471
"GBClassifier(learning_rate=0.05, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9695588235294118,0.9454779411764705,0.9638654028897932,0.9451462263570297,0.8531135765882185,0.9582384574390775,0.9859205557958478,0.9454779411764705
"GBClassifier(learning_rate=0.05, subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9711764705882353,0.9503492647058823,0.9670404763938547,0.950132318116217,0.8665847344195617,0.9629395611071958,0.9883544640282584,0.9503492647058823
"GBClassifier(learning_rate=0.05, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9714950980392156,0.9510110294117647,0.9674758051721403,0.9508032352498659,0.8683901363560932,0.963489632708622,0.9884296172145328,0.9510110294117647
"GBClassifier(learning_rate=0.05, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9711764705882353,0.9503492647058823,0.9670404763938547,0.950132318116217,0.8665847344195617,0.9629395611071958,0.9883544640282584,0.9503492647058823
"GBClassifier(learning_rate=0.05, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9714950980392156,0.9510110294117647,0.9674758051721403,0.9508032352498659,0.8683901363560932,0.963489632708622,0.9884296172145328,0.9510110294117647
"GBClassifier(subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9694852941176471,0.9528308823529412,0.9685831823301827,0.952786745249333,0.8739870327316738,0.9676827478226833,0.9889106563581315,0.9528308823529412
"GBClassifier(max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9691911764705883,0.9527389705882353,0.9685146405084684,0.9527058418557646,0.8737976918758814,0.967839048388281,0.9889834234429066,0.9527389705882353
"GBClassifier(subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9694852941176471,0.9528308823529412,0.9685831823301827,0.952786745249333,0.8739870327316738,0.9676827478226833,0.9889106563581315,0.9528308823529412
"GBClassifier(min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9691911764705883,0.9527389705882353,0.9685146405084684,0.9527058418557646,0.8737976918758814,0.967839048388281,0.9889834234429066,0.9527389705882353
"GBClassifier(subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9712990196078432,0.9548897058823529,0.9699676914039553,0.9548273633550929,0.8793880807615765,0.968640007821666,0.9904867430795848,0.9548897058823529
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.9711764705882353,0.955514705882353,0.9703678307292942,0.9554774800055436,0.881179418344418,0.9695605363609671,0.9905151293973472,0.955514705882353
"GBClassifier(subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9712990196078432,0.9548897058823529,0.9699676914039553,0.9548273633550929,0.8793880807615765,0.968640007821666,0.9904867430795848,0.9548897058823529
"GBClassifier(min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9711764705882353,0.955514705882353,0.9703678307292942,0.9554774800055436,0.881179418344418,0.9695605363609671,0.9905151293973472,0.955514705882353
"GBClassifier(learning_rate=0.03, n_estimators=200, subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9695588235294118,0.9474632352941177,0.9651352867982531,0.9472168568827799,0.8587528611583246,0.9607519308301355,0.9868764705882354,0.9474632352941177
"GBClassifier(learning_rate=0.03, n_estimators=200, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9697549019607843,0.9477389705882353,0.9653186947240012,0.9474932148920223,0.8594924003843233,0.960922890103218,0.9869864267949826,0.9477389705882353
"GBClassifier(learning_rate=0.03, n_estimators=200, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9695588235294118,0.9474632352941177,0.9651352867982531,0.9472168568827799,0.8587528611583246,0.9607519308301355,0.9868764705882354,0.9474632352941177
"GBClassifier(learning_rate=0.03, n_estimators=200, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9697549019607843,0.9477389705882353,0.9653186947240012,0.9474932148920223,0.8594924003843233,0.960922890103218,0.9869864267949826,0.9477389705882353
"GBClassifier(learning_rate=0.03, n_estimators=200, subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.971421568627451,0.9526470588235294,0.9685254875128293,0.9525033306516868,0.8730289796063577,0.9656466231361466,0.9890493043540944,0.9526470588235294
"GBClassifier(learning_rate=0.03, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9718872549019608,0.9528125,0.9686465623587752,0.9526519659997793,0.8733982899818956,0.9654274097338884,0.9891200079296425,0.9528125
"GBClassifier(learning_rate=0.03, n_estimators=200, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.971421568627451,0.9526470588235294,0.9685254875128293,0.9525033306516868,0.8730289796063577,0.9656466231361466,0.9890493043540944,0.9526470588235294
"GBClassifier(learning_rate=0.03, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9718872549019608,0.9528125,0.9686465623587752,0.9526519659997793,0.8733982899818956,0.9654274097338884,0.9891200079296425,0.9528125
"GBClassifier(learning_rate=0.05, n_estimators=200, subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9694852941176471,0.9525735294117647,0.9684171869261844,0.9525209315078069,0.8732583518344293,0.967351430667645,0.9889178759371395,0.9525735294117647
"GBClassifier(learning_rate=0.05, n_estimators=200, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.969436274509804,0.9528860294117647,0.9686172231813784,0.9528460215841836,0.874154927660152,0.9677995546746924,0.9890244296064014,0.9528860294117647
"GBClassifier(learning_rate=0.05, n_estimators=200, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9694852941176471,0.9525735294117647,0.9684171869261844,0.9525209315078069,0.8732583518344293,0.967351430667645,0.9889178759371395,0.9525735294117647
"GBClassifier(learning_rate=0.05, n_estimators=200, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.969436274509804,0.9528860294117647,0.9686172231813784,0.9528460215841836,0.874154927660152,0.9677995546746924,0.9890244296064014,0.9528860294117647
"GBClassifier(learning_rate=0.05, n_estimators=200, subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9712009803921569,0.9551470588235295,0.9701309829844534,0.9550973150693988,0.8801363360401576,0.9690633406700905,0.9904679669478087,0.9551470588235295
"GBClassifier(learning_rate=0.05, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9714705882352941,0.9553125,0.9702458906037722,0.9552557358108946,0.8805430151469578,0.9690242769479012,0.9905236573673587,0.9553125
"GBClassifier(learning_rate=0.05, n_estimators=200, subsample=0.8, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9712009803921569,0.9551470588235295,0.9701309829844534,0.9550973150693988,0.8801363360401576,0.9690633406700905,0.9904677921352365,0.9551470588235295
"GBClassifier(learning_rate=0.05, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9714705882352941,0.9553125,0.9702458906037722,0.9552557358108946,0.8805430151469578,0.9690242769479012,0.9905236573673587,0.9553125
"GBClassifier(n_estimators=200, subsample=0.8, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.969828431372549,0.9558455882352941,0.970542065244052,0.9558779355801409,0.8824316078044967,0.9712567501227295,0.990638304678489,0.9558455882352941
"GBClassifier(n_estimators=200, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9700245098039215,0.9561948529411765,0.9707740044397022,0.9562285427971867,0.8833705700259941,0.9715246581731596,0.9906878667459631,0.9561948529411765
"GBClassifier(n_estimators=200, subsample=0.8, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.969828431372549,0.9558455882352941,0.970542065244052,0.9558779355801409,0.8824316078044967,0.9712567501227295,0.990638304678489,0.9558455882352941
"GBClassifier(n_estimators=200, min_samples_split=5, max_depth=2, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9700245098039215,0.9561948529411765,0.9707740044397022,0.9562285427971867,0.8833705700259941,0.9715246581731596,0.9906878667459631,0.9561948529411765
"GBClassifier(n_estimators=200, subsample=0.8, min_impurity_split=<?>, random_state=0, presort=<?>)",0.9709803921568627,0.9567830882352941,0.97118272189059,0.9567920823849851,0.8848032077196673,0.9713851359635142,0.9911296009948097,0.9567830882352941
