Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.8058639705882353,0.8076853793141627,0.7494735917932986,0.8132605952370797,0.9700313479051209,0.8058639705882353
"RandomForestLearner(min_samples_split=5, random_state=0, class_weight='balanced')",0.8261213235294118,0.8248824604433407,0.7726153007440766,0.8239345344084701,0.9640693775403002,0.8261213235294118
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.8142463235294117,0.8129066453501164,0.7570451823160255,0.811791687355565,0.8681349281537072,0.8142463235294117
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.8686948529411764,0.8672240047855179,0.828034169300176,0.8667791790299355,0.9848665748454113,0.8686948529411764
NNClassificationLearner(random_state=1),0.811139705882353,0.8093053739196605,0.7528119652864217,0.8078289462763367,0.9691800231364147,0.811139705882353
"SVMLearner(coef0=1.0, probability=True, max_iter=100)",0.6121139705882352,0.6218792663939242,0.506987033924533,0.6553489198583721,0.9166553151055372,0.6121139705882352
