Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.83625,0.83658833125629,0.787465433609902,0.842746692454655,0.97214603539694,0.83625
"TreeLearner(min_samples_leaf=5, min_samples_split=5)",0.8148529411764706,0.813339473694673,0.7578704184582215,0.8122256315332183,0.9084398495254289,0.8148529411764706
"TreeLearner(min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8183823529411764,0.8164680897266227,0.7621237816716063,0.8151709417387618,0.9166188378310917,0.8183823529411764
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8333823529411765,0.8314039841590011,0.7817295909757207,0.8305754359055997,0.9689186081059855,0.8333823529411765
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8306617647058824,0.8284245111175585,0.7779217904185157,0.8276083284090673,0.9663462889318494,0.8306617647058824
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=5)",0.8229411764705883,0.8212379786930637,0.7686488004494587,0.8201260095485063,0.9234786283319054,0.8229411764705883
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.824485294117647,0.8224048521609184,0.7702391723793321,0.8209647225978447,0.9287835526392998,0.824485294117647
"TreeLearner(min_samples_leaf=5, min_samples_split=10)",0.8148529411764706,0.813339473694673,0.7578704184582215,0.8122256315332183,0.9084398495254289,0.8148529411764706
"TreeLearner(min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8183823529411764,0.8164680897266227,0.7621237816716063,0.8151709417387618,0.9166188378310917,0.8183823529411764
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8333823529411765,0.8314039841590011,0.7817295909757207,0.8305754359055997,0.9689186081059855,0.8333823529411765
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8306617647058824,0.8284245111175585,0.7779217904185157,0.8276083284090673,0.9663462889318494,0.8306617647058824
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=10)",0.8229411764705883,0.8212379786930637,0.7686488004494587,0.8201260095485063,0.9234786283319054,0.8229411764705883
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.824485294117647,0.8224048521609184,0.7702391723793321,0.8209647225978447,0.9287835526392998,0.824485294117647
"TreeLearner(min_samples_leaf=10, min_samples_split=5)",0.8255882352941176,0.8240764213593728,0.7716647438998582,0.822905015790521,0.943890368522718,0.8255882352941176
"TreeLearner(min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8249264705882353,0.8231396695017729,0.7705751254432945,0.8220407381826018,0.9458668748764373,0.8249264705882353
"TreeLearner(max_depth=10, min_samples_leaf=10, min_samples_split=5)",0.8333823529411765,0.8314577428222016,0.7817373956773079,0.8309502272751833,0.9698128298391226,0.8333823529411765
"TreeLearner(max_depth=10, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8300735294117647,0.8278933568866435,0.7771559043790296,0.8272880953617938,0.9667931529550787,0.8300735294117647
"TreeLearner(max_depth=20, min_samples_leaf=10, min_samples_split=5)",0.8305882352941176,0.8290485039888857,0.778345260065629,0.8278785250311471,0.9489596314942084,0.8305882352941176
"TreeLearner(max_depth=20, min_samples_leaf=10, min_samples_split=5, sufficient_majority=0.9)",0.8286764705882353,0.8268713312882218,0.7755756560512399,0.8257058013770844,0.949438504045861,0.8286764705882353
"TreeLearner(min_samples_leaf=10, min_samples_split=10)",0.8255882352941176,0.8240764213593728,0.7716647438998582,0.822905015790521,0.943890368522718,0.8255882352941176
"TreeLearner(min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8249264705882353,0.8231396695017729,0.7705751254432945,0.8220407381826018,0.9458668748764373,0.8249264705882353
"TreeLearner(max_depth=10, min_samples_leaf=10, min_samples_split=10)",0.8333823529411765,0.8314577428222016,0.7817373956773079,0.8309502272751833,0.9698128298391226,0.8333823529411765
"TreeLearner(max_depth=10, min_samples_leaf=10, min_samples_split=10, sufficient_majority=0.9)",0.8300735294117647,0.8278933568866435,0.7771559043790296,0.8272880953617938,0.9667931529550787,0.8300735294117647
