Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.03, class_weight='balanced', random_state=0, max_iter=10000)",0.6654312219805584,0.7120369331388359,0.7694854356473758,0.726984141516346,0.44734000395782797,0.9121136529569238,0.8124666767482693,0.7120369331388359
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.6658750943228727,0.7123094432778161,0.7697715289982425,0.7272392992711844,0.4476008031474079,0.9120839033287733,0.8124720070594278,0.7123094432778161
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.6660970304940299,0.7124056233268679,0.769889825182449,0.727328497070825,0.44760382986537106,0.9119997569054058,0.8124733188206933,0.7124056233268679
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.666163611345377,0.7124376833432186,0.7699272806556283,0.727358319294906,0.44761495302750226,0.9119800686658767,0.8124739234606517,0.7124376833432186
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.6847396688712326,0.7430229389416989,0.7937790241455163,0.7563829844187037,0.51953687320578,0.9441231371829003,0.8522852508138139,0.7430229389416989
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.6939278263571397,0.7537951044355032,0.8028192520508903,0.7665790558852265,0.5412672119245763,0.9522460788792447,0.8718745978007374,0.7537951044355032
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.7748901415952772,0.7908725133449818,0.8425841015493025,0.7998100139083449,0.5567225339701394,0.9232376117192871,0.8845165906735439,0.7908725133449818
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.835012650361756,0.7945113252007758,0.8544403692643101,0.7978573185871402,0.5073668685760039,0.8747936478411495,0.8783941915621084,0.7945113252007758
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.6848950241910426,0.7430389689498742,0.7938263665594856,0.7563969100516365,0.5193760135702243,0.9439618255230637,0.8521229530231262,0.7430389689498742
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.6944160859336854,0.7539714345254316,0.8030439134563561,0.7667424319244062,0.5411662139245507,0.9519593525617622,0.8720964974629142,0.7539714345254316
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.7750011096808558,0.7914175336229421,0.8429488726886496,0.8003482881911843,0.5582632710884515,0.9239561835211938,0.8851039823803817,0.7914175336229421
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.8350570375959874,0.7955051857076447,0.8550489154518288,0.7989183760814781,0.5103432939721739,0.876021512886778,0.8791852553422086,0.7955051857076447
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=10, random_state=0, class_weight='balanced')",0.6847840561054641,0.7429107288844717,0.7937181663837012,0.7562755335760891,0.5191196070751622,0.9438666258794739,0.8522150171428879,0.7429107288844717
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.6936615029517511,0.7535065642883478,0.8025729582600434,0.7663061746017048,0.5407121879157194,0.9520545858844315,0.8717614244446329,0.7535065642883478
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.761707133028541,0.7879229918407258,0.838406292749658,0.7976256153473523,0.5626196010697335,0.9322811973705656,0.8854464686432373,0.7879229918407258
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.8000133161702694,0.7949761954378597,0.8493237830450968,0.8021058925032291,0.5424239695666342,0.905112238236328,0.8824575219612727,0.7949761954378597
