Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.9172549019607843,0.9263235294117647,0.9491731764228467,0.9284174190523741,0.8224687140733039,0.983392894681522,0.981745444059977,0.9263235294117647
"RandomForestLearner(min_samples_split=5, random_state=0, class_weight='balanced')",0.9569607843137254,0.9436764705882353,0.962243690851735,0.9439773283239864,0.851636169972727,0.9675852498017447,0.9802046280276816,0.9436764705882353
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.9608823529411765,0.9333088235294118,0.9557755131893315,0.9329428290333827,0.8204273257766176,0.9507226695120768,0.8839309256055364,0.9333088235294118
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.9697058823529412,0.9538235294117647,0.9692307692307692,0.9538008383369208,0.876743592535615,0.9687561214495592,0.9900883794694348,0.9538235294117647
NNClassificationLearner(random_state=1),0.9406862745098039,0.9243382352941176,0.9491072753350809,0.9249804350144177,0.802241119763684,0.9576804072262701,0.9737817185697808,0.9243382352941176
"SVMLearner(coef0=1.0, probability=True, max_iter=100)",0.89,0.8461029411764706,0.8966368709565905,0.847200714647453,0.5958482858693418,0.9033734699970146,0.9035892156862745,0.8461029411764706
