Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
"RandomForestLearner(min_samples_split=5, random_state=0, class_weight='balanced')",0.8289705882352941,0.8279365015004909,0.7761637853359717,0.8273484558677351,0.9641307394884796,0.8289705882352941
"TreeLearner(binarize=True, max_depth=100, min_samples_leaf=2, min_samples_split=5)",0.8111029411764706,0.8095859640833247,0.752918089619058,0.8082754789302314,0.8659907047543777,0.8111029411764706
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.8710294117647058,0.8695718195407545,0.8310581804972033,0.8690125955838081,0.984888497619471,0.8710294117647058
NNClassificationLearner(random_state=1),0.8222794117647059,0.8207091440914311,0.7677157836533887,0.820804970780594,0.9713449511820045,0.8222794117647059
"SVMLearner(coef0=1.0, probability=True, max_iter=100)",0.6367647058823529,0.6412255868648468,0.5338837739672507,0.6705973332808781,0.9249043460902723,0.6367647058823529
